Name,Code,Longitude,Latitude,KECAMATAN,KODE POS,FINAL CYCLE
Store 00069,C100187124,112.831767,-8.2289,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00070,C000489250,112.823166,-8.230566,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00071,C000489241,112.835309,-8.227484,TIRTOYUDO,TLOGOSARI - 65182,Weekly
Store 00072,C000489093,112.804621,-8.230247,TIRTOYUDO,TIRTOYUDO - 65182,Monthly
Store 00073,C000197690,112.833113,-8.227886,TIRTOYUDO,TIRTOYUDO - 65182,Biweekly
Store 00074,C100327781,112.833965,-8.227679,AMPELGADING,SIMOJAYAN - 65183,Weekly
Store 00075,C000465540,112.851432,-8.204353,AMPELGADING,SIMOJAYAN - 65183,Biweekly
Store 00076,C100374552,112.875212,-8.23636,AMPELGADING,TIRTOMOYO - 65183,Weekly
Store 00077,C100337964,112.859823,-8.239504,AMPELGADING,TIRTOMOYO - 65183,Biweekly
Store 00078,C000456295,112.849643,-8.202699,AMPELGADING,SIMOJAYAN - 65183,Biweekly
Store 00079,C100298949,112.876445,-8.235588,AMPELGADING,TIRTOMARTO - 65183,Weekly
Store 00080,C100251910,112.87521,-8.236364,AMPELGADING,SIDORENGGO - 65183,Weekly
Store 00081,C100204276,112.878938,-8.234451,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00082,C100123369,112.87472,-8.232889,AMPELGADING,TIRTOMARTO - 65183,Weekly
Store 00083,C000465475,112.856462,-8.237823,AMPELGADING,TAMANASRI - 65183,Monthly
Store 00084,C100284654,112.701637,-8.266416,AMPELGADING,SIDORENGGO - 65183,Weekly
Store 00085,C000197706,112.876,-8.236878,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00086,C000197708,112.875878,-8.236841,AMPELGADING,TIRTOMARTO - 65183,Weekly
Store 00087,C000197249,112.876693,-8.234388,AMPELGADING,TIRTOMARTO - 65183,Weekly
Store 00088,C000197716,112.875891,-8.236936,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00089,C000197443,112.8759,-8.23685,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00090,C000197442,112.876,-8.236905,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00091,C000197702,112.876937,-8.237855,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00092,C000197246,112.876872,-8.237745,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00093,C000197703,112.876195,-8.235389,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00094,C000197251,112.876505,-8.236268,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00095,C000197248,112.876479,-8.234971,AMPELGADING,TIRTOMARTO - 65183,Biweekly
Store 00096,C000197714,112.878186,-8.23518,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00097,C000197711,112.878214,-8.235167,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00098,C000197701,112.878318,-8.235203,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00099,C000197836,112.878963,-8.234465,AMPELGADING,TIRTOMARTO - 65183,Biweekly
Store 00100,C000197247,112.87781,-8.234447,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00101,C000197718,112.875016,-8.236696,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00102,C000197717,112.875096,-8.236643,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00103,C000197245,112.876515,-8.236271,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00104,C100285074,112.906192,-8.22912,AMPELGADING,SIDORENGGO - 65183,Weekly
Store 00105,C100285073,112.907653,-8.230065,AMPELGADING,SIDORENGGO - 65183,Monthly
Store 00106,C000197705,112.873504,-8.237372,AMPELGADING,TIRTOMARTO - 65183,Monthly
Store 00107,C100395919,112.6289294,-8.0045294,TAJINAN,PANDANMULYO - 65172,Biweekly
Store 00108,C100140611,112.628916,-8.004547,TAJINAN,GUNUNGSARI - 65172,Weekly
Store 00109,C100376862,112.693356666666,-8.04746499999999,TAJINAN,GUNUNGSARI - 65172,Weekly
Store 00110,C100295709,112.686323249999,-8.05275461666666,TAJINAN,TAJINAN - 65172,Biweekly
Store 00111,C000456260,112.687861,-8.049959,TAJINAN,TAJINAN - 65172,Biweekly
Store 00112,C000197376,112.693417,-8.046135,TAJINAN,GUNUNGSARI - 65172,Weekly
Store 00113,C000197840,112.66454,-8.042769,TAJINAN,SUMBERSUKO - 65172,Biweekly
Store 00114,C000456253,112.666756,-8.041202,TAJINAN,SUMBERSUKO - 65172,Monthly
Store 00115,C000197511,112.665758,-8.040835,TAJINAN,SUMBERSUKO - 65172,Biweekly
Store 00116,C000197799,112.685717,-8.051324,TAJINAN,TAJINAN - 65172,Biweekly
Store 00117,C000197805,112.68669,-8.051098,TAJINAN,TAJINAN - 65172,Biweekly
Store 00118,C000197798,112.68588,-8.051276,TAJINAN,TAJINAN - 65172,Biweekly
Store 00119,C000197517,112.687124,-8.050275,TAJINAN,TAJINAN - 65172,Biweekly
Store 00120,C000197807,112.6863,-8.052932,TAJINAN,TAJINAN - 65172,Biweekly
Store 00121,C000456248,112.683918,-8.050775,TAJINAN,TAJINAN - 65172,Biweekly
Store 00122,C100379184,112.66246277,-8.06395549,TAJINAN,JATISARI - 65172,Weekly
Store 00123,C000456262,112.663849,-8.045174,TAJINAN,SUMBERSUKO - 65172,Monthly
Store 00124,C000197516,112.686217,-8.051677,TAJINAN,TAJINAN - 65172,Monthly
Store 00125,C000197800,112.658537,-8.062067,TAJINAN,TANGKILSARI - 65172,Monthly
Store 00126,C000197797,112.658618,-8.06202,TAJINAN,TANGKILSARI - 65172,Biweekly
Store 00127,C000563146,112.630148,-8.05424,TAJINAN,TAMBAKSARI - 65172,Biweekly
Store 00128,C000197370,112.688379,-8.049984,TAJINAN,TAJINAN - 65172,Biweekly
Store 00129,C000197508,112.660973,-8.057816,TAJINAN,SUMBERSUKO - 65172,Monthly
Store 00130,C000197500,112.658589,-8.061984,TAJINAN,TANGKILSARI - 65172,Biweekly
Store 00131,C000197523,112.631904,-8.055774,TAJINAN,TAJINAN - 65172,Biweekly
Store 00132,C000197521,112.633073,-8.052661,TAJINAN,TAJINAN - 65172,Weekly
Store 00133,C000197339,112.663416,-8.046821,TAJINAN,SUMBERSUKO - 65172,Monthly
Store 00134,C000199684,112.62891,-8.004547,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00135,C100398435,112.4299872,-8.2759004,DONOMULYO,TLOGOSARI - 65167,Weekly
Store 00136,C000199403,112.425245,-8.289638,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00137,C000199428,112.425879,-8.287466,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00138,C000199429,112.426162,-8.288259,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00139,C000199434,112.426677,-8.287811,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00140,C100372433,112.42754839,-8.28522821,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00141,C100086532,112.42850467,-8.28428849,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00142,C000199432,112.427213,-8.285788,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00143,C000199700,112.425532,-8.294963,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00144,C100336860,112.425217,-8.293205,DONOMULYO,MENTARAMAN - 65167,Biweekly
Store 00145,C100189088,112.425376,-8.292428,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00146,C000199551,112.425566,-8.294948,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00147,C000199436,112.425011,-8.292379,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00148,C100368325,112.42970927,-8.28265844,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00149,C100390161,112.43,-8.28053,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00150,C000199548,112.429099,-8.283528,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00151,C100143352,112.42747,-8.2971242,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00152,C000199426,112.426192,-8.287678,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00153,C000199425,112.429949,-8.275028,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00154,C100284667,112.439827,-8.301582,DONOMULYO,TEMPURSARI - 65167,Biweekly
Store 00155,C000199438,112.443,-8.30246,DONOMULYO,TEMPURSARI - 65167,Biweekly
Store 00156,C000504361,112.452,-8.30485,DONOMULYO,KEDUNGSALAM - 65167,Biweekly
Store 00157,C000504412,112.452,-8.30484,DONOMULYO,KEDUNGSALAM - 65167,Biweekly
Store 00158,C000504362,112.453,-8.30484,DONOMULYO,KEDUNGSALAM - 65167,Monthly
Store 00159,C000504360,112.452,-8.30485,DONOMULYO,KEDUNGSALAM - 65167,Biweekly
Store 00160,C000199437,112.446779,-8.303168,DONOMULYO,TEMPURSARI - 65167,Weekly
Store 00161,C000199431,112.456937,-8.304522,DONOMULYO,KEDUNGSALAM - 65167,Biweekly
Store 00162,C000199430,112.439941,-8.301958,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00163,C100173034,112.4125501,-8.2891932,DONOMULYO,DONOMULYO - 65167,Weekly
Store 00164,C100272937,112.41146419,-8.28927562,DONOMULYO,PURWOREJO - 65167,Biweekly
Store 00165,C100167499,112.4118506,-8.2892135,DONOMULYO,PURWOREJO - 65167,Biweekly
Store 00166,C100245799,112.3978503,-8.2880389,DONOMULYO,PURWOREJO - 65167,Biweekly
Store 00167,C100229476,112.39727573,-8.28912431,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00168,C000199401,112.425186,-8.289403,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00169,C100186143,112.38644452,-8.28663001,DONOMULYO,SUMBEROTO - 65167,Biweekly
Store 00170,C000199549,112.389407,-8.286048,DONOMULYO,SUMBEROTO - 65167,Biweekly
Store 00171,C000199018,112.42536,-8.2889,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00172,C000199221,112.424957,-8.289126,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00173,C000199015,112.425289,-8.289028,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00174,C000199226,112.42658,-8.287316,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00175,C000199252,112.427681,-8.285248,DONOMULYO,DONOMULYO - 65167,Monthly
Store 00176,C000199013,112.42592,-8.28827,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00177,C000199012,112.425116,-8.297645,DONOMULYO,DONOMULYO - 65167,Biweekly
Store 00178,C100407859,0,0,DONOMULYO,PURWOREJO - 65167,Biweekly
Store 00179,C100393838,112.628916,-8.004547,WAGIR,JEDONG - 65158,Weekly
Store 00180,C100387722,112.62898755,-8.00474237,WAGIR,PARANGARGO - 65158,Weekly
Store 00181,C100386919,112.5955801,-7.9782525,WAGIR,PANDANLANDUNG - 65158,Weekly
Store 00182,C100269418,112.5977426,-8.0657682,WAGIR,PANDANREJO - 65158,Biweekly
Store 00183,C100328086,112.600085,-8.021069,WAGIR,SITIREJO - 65158,Monthly
Store 00184,C100277960,112.602344,-8.023355,WAGIR,MENDALANWANGI - 65158,Monthly
Store 00185,C100406444,112.5948984,-8.0108459,WAGIR,SIDORAHAYU - 65158,Biweekly
Store 00186,C100387613,112.595436,-8.014762,WAGIR,PARANGARGO - 65158,Biweekly
Store 00187,C100109321,112.59907673,-8.01886496,WAGIR,SITIREJO - 65158,Monthly
Store 00188,C000471636,112.606957,-8.026546,WAGIR,SITIREJO - 65158,Biweekly
Store 00189,C000199344,112.605663,-8.026356,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00190,C000199355,112.605529,-8.026345,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00191,C000199313,112.605758,-8.026286,WAGIR,SITIREJO - 65158,Biweekly
Store 00192,C000199312,112.604964,-8.026383,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00193,C000199347,112.603474,-8.028591,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00194,C000199353,112.603642,-8.027886,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00195,C000199346,112.603729,-8.028363,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00196,C000199348,112.597572,-8.033461,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00197,C000199354,112.592879,-8.012732,WAGIR,PARANGARGO - 65158,Biweekly
Store 00198,C000199357,112.592461,-8.010761,WAGIR,SIDORAHAYU - 65158,Weekly
Store 00199,C000199692,112.596097,-8.015612,WAGIR,PARANGARGO - 65158,Monthly
Store 00200,C000199359,112.594822,-8.014137,WAGIR,PARANGARGO - 65158,Monthly
Store 00201,C000199358,112.595029,-8.011085,WAGIR,SIDORAHAYU - 65158,Biweekly
Store 00202,C000199350,112.591141,-8.012305,WAGIR,PARANGARGO - 65158,Monthly
Store 00203,C000468349,112.58213,-8.009554,WAGIR,GONDOWANGI - 65158,Biweekly
Store 00204,C100366711,112.567968,-8.008337,WAGIR,PANDANREJO - 65158,Monthly
Store 00205,C100270215,112.568036,-8.008394,WAGIR,PANDANREJO - 65158,Biweekly
Store 00206,C100298489,112.57248,-8.008744,WAGIR,GONDOWANGI - 65158,Biweekly
Store 00207,C100227825,112.570744,-8.008487,WAGIR,PANDANREJO - 65158,Monthly
Store 00208,C000199351,112.581114,-8.009353,WAGIR,GONDOWANGI - 65158,Weekly
Store 00209,C000199691,112.597997,-8.004015,WAGIR,SIDORAHAYU - 65158,Monthly
Store 00210,C000199362,112.598316,-8.002861,WAGIR,SIDORAHAYU - 65158,Monthly
Store 00211,C000199521,112.60147,-8.022812,WAGIR,SITIREJO - 65158,Monthly
Store 00212,C000199363,112.599855,-8.020288,WAGIR,SITIREJO - 65158,Biweekly
Store 00213,C000199349,112.59485,-8.01413,WAGIR,PARANGARGO - 65158,Monthly
Store 00214,C000199278,112.606293,-8.026492,WAGIR,MENDALANWANGI - 65158,Biweekly
Store 00215,C000199238,112.591953,-7.976545,WAGIR,PANDANLANDUNG - 65158,Monthly
Store 00216,C000199274,112.595746,-8.01412,WAGIR,PARANGARGO - 65158,Monthly
Store 00217,C100206602,112.556944,-8.006656,WAGIR,PANDANREJO - 65158,Weekly
Store 00218,C100255292,112.557563,-8.007589,WAGIR,PANDANREJO - 65158,Biweekly
Store 00219,C100387721,112.560283,-8.007177,WAGIR,PANDANREJO - 65158,Biweekly
Store 00220,C100387720,112.560283,-8.007177,WAGIR,PANDANREJO - 65158,Biweekly
Store 00221,C100141153,112.55727185,-8.00677005,WAGIR,PANDANREJO - 65158,Monthly
Store 00222,C100088464,112.56443258,-8.00804412,WAGIR,PANDANREJO - 65158,Weekly
Store 00223,C000199273,112.595057,-8.01409,WAGIR,PARANGARGO - 65158,Monthly
Store 00224,C000199356,112.560218,-8.007252,WAGIR,PANDANREJO - 65158,Biweekly
Store 00225,C100332200,112.551,-8.19982,PAGAK,SUMBEREJO - 65168,Biweekly
Store 00226,C100348494,112.53,-8.19688,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00227,C100300834,112.549498,-8.191152,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00228,C100145649,112.54734621,-8.1868771,PAGAK,GAMPINGAN - 65168,Weekly
Store 00229,C100383025,112.50302466,-8.30457076,PAGAK,PANDANREJO - 65168,Biweekly
Store 00230,C100099797,112.54702983,-8.1885564,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00231,C100086523,112.54835971,-8.18982703,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00232,C000199306,112.54723,-8.187209,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00233,C100348496,112.51,-7.97218,PAGAK,PAGAK - 65168,Biweekly
Store 00234,C100348498,112.527266,-8.225923,PAGAK,PAGAK - 65168,Biweekly
Store 00235,C100314813,112.527432,-8.225988,PAGAK,SUMBEREJO - 65168,Biweekly
Store 00236,C100348497,112.527002,-8.22536,PAGAK,PAGAK - 65168,Biweekly
Store 00237,C100258606,112.5273046,-8.2258529,PAGAK,PAGAK - 65168,Weekly
Store 00238,C000199539,112.52638,-8.225616,PAGAK,PAGAK - 65168,Biweekly
Store 00239,C100187936,112.52744929,-8.22555347,PAGAK,PAGAK - 65168,Biweekly
Store 00240,C000199391,112.525753,-8.226417,PAGAK,PAGAK - 65168,Biweekly
Store 00241,C000199333,112.528492,-8.222788,PAGAK,PAGAK - 65168,Biweekly
Store 00242,C000198988,112.536065,-8.221101,PAGAK,GAMPINGAN - 65168,Biweekly
Store 00243,C100332201,112.507,-8.23985,PAGAK,SEMPOL - 65168,Weekly
Store 00244,C100284606,112.504264,-8.247004,PAGAK,SEMPOL - 65168,Weekly
Store 00245,C000199334,112.523968,-8.230391,PAGAK,PAGAK - 65168,Biweekly
Store 00246,C000199396,112.501298,-8.257261,PAGAK,SEMPOL - 65168,Monthly
Store 00247,C000199337,112.501482,-8.256861,PAGAK,SUMBERMANJING KULON - 65168,Monthly
Store 00248,C100339460,112.50037619,-8.25974632,PAGAK,SEMPOL - 65168,Biweekly
Store 00249,C000199336,112.501828,-8.254898,PAGAK,SEMPOL - 65168,Monthly
Store 00250,C000199248,112.506593,-8.239878,PAGAK,SEMPOL - 65168,Biweekly
Store 00251,C000198986,112.52739,-8.225449,PAGAK,PAGAK - 65168,Biweekly
Store 00252,C100289896,112.48754,-8.30009,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00253,C000198996,112.498386,-8.30215,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00254,C000198995,112.498386,-8.30215,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00255,C000198997,112.498659,-8.302339,PAGAK,SUMBERMANJING KULON - 65168,Monthly
Store 00256,C100099798,112.49613491,-8.30188385,PAGAK,SUMBERMANJING KULON - 65168,Monthly
Store 00257,C000198994,112.49833,-8.302212,PAGAK,SUMBERMANJING KULON - 65168,Weekly
Store 00258,C000535272,112.495715,-8.301696,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00259,C000199698,112.49576,-8.301595,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00260,C000468345,112.496217,-8.301636,PAGAK,SUMBERMANJING KULON - 65168,Monthly
Store 00261,C000199247,112.495889,-8.301598,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00262,C000199389,112.495705,-8.303481,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00263,C000199390,112.495797,-8.303135,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00264,C000468346,112.495947,-8.302434,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00265,C000199343,112.495544,-8.303645,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00266,C000198993,112.496352,-8.301979,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00267,C000198991,112.498386,-8.30215,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00268,C000199220,112.487613,-8.300044,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00269,C000199342,112.497413,-8.29835,PAGAK,SUMBERMANJING KULON - 65168,Monthly
Store 00270,C000198989,112.495793,-8.303042,PAGAK,SUMBERMANJING KULON - 65168,Biweekly
Store 00271,C100348495,107.066,-6.33499,PAGAK,SUMBEREJO - 65168,Biweekly
Store 00272,C000197592,112.638367,-8.177731,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Monthly
Store 00273,C000196135,112.638285,-8.177755,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Biweekly
Store 00274,C100405924,112.636363333333,-8.17746666666666,GONDANGLEGI,SEPANJANG - 65174,Weekly
Store 00275,C100307490,112.636828,-8.177056,GONDANGLEGI,GONDANGLEGI KULON - 65174,Monthly
Store 00276,C100243555,112.636661,-8.176964,GONDANGLEGI,GONDANGLEGI KULON - 65174,Biweekly
Store 00277,C100334673,112.638371,-8.177611,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Weekly
Store 00278,C000196134,112.638439,-8.177749,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Monthly
Store 00279,C100249268,112.63692254,-8.11978242,GONDANGLEGI,PUTUKREJO - 65174,Biweekly
Store 00280,C100393561,112.600586666666,-8.14525666666666,GONDANGLEGI,PANGGUNGREJO - 65174,Biweekly
Store 00281,C100393560,112.601718333333,-8.14326666666666,GONDANGLEGI,PANGGUNGREJO - 65174,Biweekly
Store 00282,C100390657,112.599545,-8.13340833333333,GONDANGLEGI,BULUPITU - 65174,Weekly
Store 00283,C000197858,112.640249,-8.169975,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Biweekly
Store 00284,C100205128,112.64055165,-8.16910705,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Biweekly
Store 00285,C100205129,112.6398314,-8.1706012,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Monthly
Store 00286,C000197850,112.639048,-8.195333,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Monthly
Store 00287,C000197430,112.640747,-8.179904,GONDANGLEGI,GONDANGLEGI WETAN - 65174,Monthly
